construct,fish,stack_mean,mip_mean,signal_mean,coverage,total,cv,n_fov
14a-ef1a-extra,fish01,508.2788592294546,789.835871925354,1084.2348290770633,0.6432113647460938,207050734.81,0.5650457062463706,1
14a-ef1a-extra,fish02,474.5800294523973,727.1715201950074,1127.0552048158868,0.569366455078125,190623650.99,0.7041341679470831,1
14a-ef1a-extra,fish03,435.4268105697632,686.2378158187867,984.4999524332716,0.5798225402832031,179893125.99,0.5748132909341879,1
14a-ef1a-extra,fish04,537.7920501415546,823.0834388351441,1125.6905120232173,0.644073486328125,215766384.99,0.5511889658437249,1
14a-ef1a-extra,fish05,508.4040158198431,777.0501441574096,1105.1374769719557,0.6315574645996094,203699032.98999998,0.6132241134832471,1
14a-ef1a-extra,fish06,431.99281341259297,660.0449508666992,1090.0541693262096,0.5319023132324219,173026823.6,0.7647384986362077,1
14a-ef1a-extra,fish07,469.33050922393795,729.0513572311401,1084.158572621616,0.5481338500976562,191116438.98999998,0.6090529570218994,1
14a-ef1a-extra,fish08,465.73785489008975,698.957591972351,992.4080128691614,0.5881004333496094,183227538.98999998,0.5726650945402256,1
14a-ef1a-extra,fish09,457.8445429141705,707.3293647384644,1056.668126777934,0.6155128479003906,185422148.99,0.6983334114747113,1
14a-ef1a-extra,fish10,507.5006907976591,777.4997138595581,1038.492023630037,0.6654319763183594,203816884.99,0.5242950714443574,1
14a-ef1a-extra,fish11,432.4760002165574,669.4132034683228,999.9843672644768,0.5985488891601562,175482654.81,0.6562087104687068,1
14a-ef1a-extra,fish12,454.54975439218373,696.9372787094115,1010.4753151744786,0.5758819580078125,182697925.98999998,0.5867246303548996,1
14a-ef1a-extra,fish13,431.1032694801918,674.7136420822144,988.1265937563044,0.5861625671386719,176872132.99,0.6125939794998888,1
14a-ef1a-extra,fish14,488.72232540717494,757.6323699569703,1070.284592112929,0.628570556640625,198608779.99,0.6026208353663983,1
14a-ef1a-extra,fish15,476.5543666282067,753.0472030258179,1056.6362107792445,0.6270980834960938,197406805.99,0.5951610248231631,1
14a-ef1a-extra,fish16,449.60785616067744,702.1779861068725,1097.415516175256,0.5404167175292969,184071745.98999998,0.6718225793388996,1
14a-ef1a-extra,fish17,450.9738243337778,679.4644927597046,1017.8728741952959,0.6055984497070312,178117539.99,0.6663465439977823,1
14a-ef1a-extra,fish18,524.3013526124221,824.5895720672607,1213.9670375065828,0.5867500305175781,216161208.78,0.6158149050654935,1
14a-ef1a-extra,fish19,440.8522282820481,693.2235641098023,1073.196093351169,0.5589370727539062,181724397.99,0.6912603548542448,1
14a-ef1a-extra,fish20,423.7004995111319,648.7977332687378,1065.2398823770145,0.5406341552734375,170078432.99,0.7613663952865919,1
14a-ef1a-extra,fish21,443.37246418292705,686.5169868087769,960.5287272135416,0.59765625,179966308.99,0.5476848738709774,1
14a-ef1a-extra,fish22,466.74418023916394,733.7261581039429,996.9696476035692,0.6220054626464844,192341909.99,0.5198881058755614,1
14a-ef1a-extra,fish23,471.4051778470552,724.8812789535523,1082.8560898845174,0.6038360595703125,190023277.99,0.6739306347815286,1
14a-ef1a-extra,fish24,467.86513615241415,697.9769248580932,1007.6448491729238,0.6132011413574219,182970462.98999998,0.6136281222572029,1
14a-ef1a-extra,fish25,494.9477983856201,765.1155089950562,1134.2094336568537,0.5915260314941406,200570439.99,0.6526670505853368,1
14a-ef1a-extra,fish26,490.7650775469266,761.8086585617066,1160.4823934035155,0.5692710876464844,199703568.99,0.6582409261810693,1
14a-ef1a-extra,fish27,503.8226000712468,766.1820869064331,1105.1526273828838,0.6019287109375,200850036.99,0.6170070752453805,1
14a-ef1a-extra,fish28,379.6658057168813,600.1954673767091,1008.6670892153295,0.4926185607910156,157337640.60000002,0.7423951931924672,1
14a-ef1a-extra,fish29,396.8597949570876,618.8896934890747,957.4030895268056,0.5820465087890625,162238219.81,0.717857037455669,1
14a-ef1a-extra,fish30,419.82818156902607,622.0239524459839,943.8850887031863,0.5829353332519531,163059846.99,0.6717225324320836,1
